source,optional,offerId,templateId,name,loyalty,globalStock,stock,buyLimit,route,questGate,costRub,productValueRub,costValueRatio,pricedNodes,flags
Admiral core,false,ad2000000000000000000001,5f4f9eb969cdc30ff33f09db,Профессиональный ручной компас EYE MK.2,1,finite,4,1,cash,,42000,65700,0.639,1/1,
Admiral core,false,ad2000000000000000000002,5c12688486f77426843c7d32,Моток паракорда,1,finite,6,2,cash,,32000,22500,1.422,1/1,
Admiral core,false,ad2000000000000000000003,590c60fc86f77412b13fddcf,Планшет для документов,1,finite,1,1,barter,,165122,167469,0.986,1/1,
Admiral core,false,ad2000000000000000000004,5991b51486f77447b112d44f,Маркер MS2000,1,finite,12,4,cash,,16500,13923,1.185,1/1,
Admiral core,false,aee3d2ef24cab4e0539e153d,5fd4c5477a8d854fa0105061,Жилет охранника,1,finite,10,2,cash,,9000,3900,2.308,1/1,
Admiral core,false,b71182859e5958fd12c02e89,59e6906286f7746c9f75e847,5.56x45мм M856A1,1,finite,80,80,cash+quest,f6e51dc4e50e47ee9af50a4d,550,426,1.291,1/1,
Admiral core,false,ecd1ad1cfea7bf81ca7be827,5f3e77b26cda304dcc634057,Магазин Wilson Combat на 7 патронов .45 ACP для M1911A1,1,finite,12,3,cash,,2500,1200,2.083,1/1,
Admiral core,false,ece0342652b331ac065d2e5a,5d6e68a8a4b9360b6c0d54e2,12/70 бронебойная пуля AP-20,1,finite,40,40,cash+quest,8d8d81032315f4fdc5a06798,1150,890,1.292,1/1,
Admiral core,false,f8da71976975811ca49a91b7,618ba27d9008e4636a67f61d,"Оптический прицел 30мм Vortex ""Razor HD Gen.2 1-6x24""",1,finite,2,1,cash+quest,60df546a03bdc74ca45fb8ca,68000,72000,0.944,1/1,
Admiral core,false,00b1246f68ad593404d24a5c,60a272cc93ef783291411d8e,"Рюкзак Hazard 4 ""Drawbridge"" (Coyote Tan)",2,finite,4,1,cash,,65000,30000,2.167,1/1,
Admiral core,false,068cab4ca6f6a9cf251adf7b,624c09da2cec124eb67c1046,Реактивная осветительная ракета (Белая),2,finite,4,2,cash,,12000,74,162.162,1/1,very-expensive
Admiral core,false,23fd08b2d0507e549e1db4a2,5c0e9f2c86f77432297fe0a3,"Разгрузочная нагрудная система BlackHawk! ""Commando"" (Черная)",2,finite,5,1,cash,,45000,28618,1.572,1/1,
Admiral core,false,43ec217ecfe37c650cad3103,5bf3e0490db83400196199af,Автомат Калашникова АКС-74 5.45x39,2,finite,3,1,cash,,65000,33098,1.964,9/9,
Admiral core,false,6a966bf04a5dea4d6988cb44,5755383e24597772cb798966,Вазелиновая мазь,2,finite,5,1,cash,,25000,14844,1.684,1/1,
Admiral core,false,785520899c2b648912471cbb,619636be6db0f2477964e710,.300 Blackout M62 Tracer,2,finite,80,40,cash,,700,413,1.695,1/1,
Admiral core,false,b0984cb2c8974270c28b2f1f,5751a89d24597722aa0e8db0,"Мазь ""Золотая Звезда""",2,finite,5,1,cash,,45000,28889,1.558,1/1,
Admiral core,false,b5b55194b4a76ce0ce71a409,5d03794386f77420415576f5,Военный аккумулятор 6-СТЭН-140-М,2,finite,1,1,barter+quest,6a24e1ca978938c1d4a8839f,297968,330000,0.903,1/1,
Admiral core,false,b754aa18bd970cfc3343dcd7,60098ad7c2240c0fe85c570a,Индивидуальная тактическая аптечка AFAK,2,finite,2,1,cash+quest,70258f2cc084c335a0542207,72000,41600,1.731,1/1,
Admiral core,false,edeb23cb34bd25451fddfd04,5f5f41f56760b4138443b352,"Разгрузочная нагрудная система Direct Action ""Thunderbolt"" (Shadow Grey)",2,finite,5,1,cash,,40000,25160,1.590,1/1,
Admiral core,false,f530321b38abb5a472788c19,5e2aee0a86f774755a234b62,"Аккумуляторная батарея ""Циклон""",2,finite,3,1,cash+quest,181f902c56dab247a1f49d0c,55000,85000,0.647,1/1,
Admiral core,false,faab55335de42ed340d87fb8,5c1127bdd174af44217ab8b9,Пачка патронов 9x19мм RIP (20 штук),2,finite,6,2,cash,,20000,1422,14.065,2/2,very-expensive
Admiral core,false,2d000c9208cd64ad066c30c9,660bbc47c38b837877075e47,Зашифрованная флешка,3,finite,2,1,cash+quest,734ce8b802ca6a629387ca5b,85000,10000,8.500,1/1,very-expensive
Admiral core,false,4db787b0de7a1cb553e27892,5ed515e03a40a50460332579,Шприц с L1 (Норадреналин),3,finite,4,1,cash,,55000,37570,1.464,1/1,
Admiral core,false,5bfa51760237a85be34db0b0,5fca138c2a7b221b2852a5c6,Антидот xTG-12,3,finite,3,1,cash,,100000,80600,1.241,1/1,
Admiral core,false,6b0d153489b984ae9b940adb,5d1b5e94d7ad1a2b865a96b0,"Тепловизионный прицел FLIR ""RS-32 2.25-9x 35mm 60Hz""",3,finite,1,1,barter+quest,df6c5b8f5660efd1b4c6d06c,343388,144794,2.372,1/1,
Admiral core,false,7b316634b30868626d6dccb0,624c09e49b98e019a3315b66,Реактивная сигнальная ракета (Желтая),3,finite,3,1,cash,,18000,74,243.243,1/1,very-expensive
Admiral core,false,7c7325d2b0efa12b2ad4eea4,62e910aaf957f2915e0a5e36,Цифровой защищенный DSP радиопередатчик,3,finite,2,1,cash+quest,0f650f5ba44bfd17404b7ad6,78000,0,,1/1,
Admiral core,false,837fba2b3d8b5e4d7d274e9b,5ea058e01dbce517f324b3e2,"Дополнительный модуль Tac-Kek ""Heavy Trooper"" для шлемов типа Ops-Core",3,finite,3,1,cash,,75000,61000,1.230,1/1,
Admiral core,false,bb47b68c39d86a0f8a082d18,5b44cad286f77402a54ae7e5,"Разгрузочный жилет с бронепластинами 5.11 Tactical ""TacTec"" (Ranger Green)",3,finite,3,1,cash,,120000,180000,0.667,5/5,
Admiral core,false,d96a58824bb06b37bb1bb6f1,5ed515ece452db0eb56fc028,P22 (Препарат 22),3,finite,4,1,cash,,60000,40300,1.489,1/1,
Admiral core,false,f5a50959ede25e5b2e1ddbb1,5d5d87f786f77427997cfaef,"Разгрузочный жилет с бронепластинами Ars Arma ""A18 Сканда"" (MultiCam)",3,finite,3,1,cash,,100000,97200,1.029,7/7,
Admiral core,false,f9914f33ecc433d619ddacba,5ed5160a87bb8443d10680b5,Препарат Мельдонин,3,finite,4,1,cash,,75000,55900,1.342,1/1,
Admiral core,false,fce21a530202a999075a27af,5ea18c84ecf1982c7712d9a2,"Дополнительное бронирование для шлема Diamond Age ""Bastion""",3,finite,3,1,cash,,145000,121330,1.195,1/1,
Admiral core,false,0e6ac10c4adc789996086c63,66d97834d2985e11480d5c1e,Реактивная сигнальная ракета (Синий),4,finite,2,1,cash,,30000,74,405.405,1/1,very-expensive
Admiral core,false,e76db2cbe4b00c66047ccb27,5c94bbff86f7747ee735c08f,Ключ-карта доступа в TerraGroup Labs,4,finite,1,1,barter+quest,680c47f4c9a0e7b884a95908,1014750,100000,10.148,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acee8,66bf757f27d0b097db0ace3d,66bf757f27d0b097db0ace3d,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acee9,66bf757f27d0b097db0ace3e,66bf757f27d0b097db0ace3e,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceea,66bf757f27d0b097db0ace3f,66bf757f27d0b097db0ace3f,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceeb,66bf757f27d0b097db0ace40,66bf757f27d0b097db0ace40,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceec,66bf757f27d0b097db0ace41,66bf757f27d0b097db0ace41,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceed,66bf757f27d0b097db0ace42,66bf757f27d0b097db0ace42,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceee,66bf757f27d0b097db0ace43,66bf757f27d0b097db0ace43,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0aceef,66bf757f27d0b097db0ace47,66bf757f27d0b097db0ace47,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef2,66bf757f27d0b097db0ace50,66bf757f27d0b097db0ace50,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef3,66bf757f27d0b097db0ace51,66bf757f27d0b097db0ace51,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef4,66bf757f27d0b097db0ace52,66bf757f27d0b097db0ace52,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef5,66bf757f27d0b097db0ace53,66bf757f27d0b097db0ace53,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef6,66bf757f27d0b097db0ace54,66bf757f27d0b097db0ace54,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef8,66bf757f27d0b097db0ace4d,66bf757f27d0b097db0ace4d,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acef9,66bf757f27d0b097db0ace55,66bf757f27d0b097db0ace55,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acefa,66bf757f27d0b097db0ace56,66bf757f27d0b097db0ace56,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acefb,66bf757f27d0b097db0ace57,66bf757f27d0b097db0ace57,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acefc,66bf757f27d0b097db0ace64,66bf757f27d0b097db0ace64,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acefd,66bf757f27d0b097db0ace65,66bf757f27d0b097db0ace65,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf6a,5e8488fa988a8701445df1e4,Гемостатик CALOK-B,1,unlimited,99999,12,cash,,12582,5712,2.203,1/1,
Artem,false,66bf757f27d0b097db0acf6b,5b432b2f5acfc4771e1c6622,Легкая армированная маска Shattered,1,unlimited,99999,2,barter,,30152,7500,4.020,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf6c,54527a984bdc2d4e668b4567,5.56x45мм M855,1,unlimited,99999,none,cash+quest,673f0b6c85753ffd03ad5f34,285,180,1.583,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf6d,5fc64ea372b0dd78d51159dc,Нож сектанта,1,unlimited,99999,2,barter,,22500,35000,0.643,1/1,
Artem,false,66bf757f27d0b097db0acf6e,56d59d3ad2720bdb418b4577,9x19мм Пст гж,1,unlimited,99999,200,cash,,65,62,1.048,1/1,
Artem,false,66bf757f27d0b097db0acf6f,5644bd2b4bdc2d3b4c8b4572,Автомат Калашникова АК-74Н 5.45x39,1,unlimited,99999,5,cash,,32712,32898,0.994,9/9,
Artem,false,66bf757f27d0b097db0acf70,5656d7c34bdc2d9d198b4587,7.62x39мм ПС гж,1,unlimited,99999,none,cash+quest,673f0daebb711e9700b60899,142,240,0.592,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf71,55d482194bdc2d1d4e8b456b,Магазин 6Л31 на 60 патронов 5.45x39 для АК-74,1,unlimited,99999,3,barter,,19439,18319,1.061,1/1,
Artem,false,66bf757f27d0b097db0acf72,5a7ad2e851dfba0016153692,Магазин Big Stick на 33 патрона 9x19 для Glock,1,unlimited,99999,6,cash,,6425,3956,1.624,1/1,
Artem,false,66bf757f27d0b097db0acf73,5af0454c86f7746bf20992e8,Алюминиевая шина для переломов,1,unlimited,99999,6,cash,,10993,8320,1.321,1/1,
Artem,false,66bf757f27d0b097db0acf74,56dff4ecd2720b5f5a8b4568,5.45x39мм УС гс,1,finite,2391,120,cash,,91,88,1.034,1/1,
Artem,false,66bf757f27d0b097db0acf75,5447a9cd4bdc2dbd208b4567,Штурмовая винтовка Colt M4A1 5.56x45,1,unlimited,99999,6,cash,,52712,64191,0.821,13/13,
Artem,false,66bf757f27d0b097db0acf76,5cc86840d7f00c002412c56c,5.7x28мм R37.X,1,unlimited,99999,120,cash,,172,220,0.782,1/1,
Artem,false,66bf757f27d0b097db0acf77,5c1bc7752e221602b1779b34,"Тактическая рукоятка Зенит ""РК-6""",1,unlimited,99999,4,cash,,4741,5540,0.856,1/1,
Artem,false,66bf757f27d0b097db0acf78,56d59856d2720bd8418b456a,Пистолет SIG P226R 9x19,1,unlimited,99999,6,cash,,15423,15213,1.014,7/7,
Artem,false,66bf757f27d0b097db0acf79,56d59948d2720bb7418b4582,Магазин на 15 патронов 9x19 для P226,1,finite,9400,6,cash,,7544,2096,3.599,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf7a,583990e32459771419544dd2,Автомат Калашникова АКС-74УН 5.45x39,1,unlimited,99999,6,cash,,74112,69899,1.060,9/9,
Artem,false,66bf757f27d0b097db0acf7b,59e7715586f7742ee5789605,Респираторная маска,1,unlimited,99999,3,cash,,4302,1786,2.409,1/1,
Artem,false,66bf757f27d0b097db0acf7c,5b432b965acfc47a8774094e,Активные наушники ГСШ-01,1,unlimited,99999,4,cash,,31625,16056,1.970,1/1,
Artem,false,66bf757f27d0b097db0acf7d,5aaa4194e5b5b055d06310a5,"Магазин Magpul ""PMAG 30 GEN M3"" на 30 патронов 5.45x39 для АК-74",1,finite,72,15,cash,,11000,2658,4.138,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf7e,5d1340b3d7ad1a0b52682ed7,"Магазин Magpul ""PMAG 30 GEN M3 STANAG"" на 30 патронов 5.56x45 для AR-15 (FDE)",1,unlimited,99999,15,cash,,11500,3113,3.694,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf7f,55802d5f4bdc2dac148b458e,"Магазин Magpul ""PMAG 30 GEN M3 W STANAG"" на 30 патронов 5.56x45 для AR-15",1,unlimited,99999,12,cash,,11500,3797,3.029,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf80,6193d338de3cdf1d2614a6fc,Магазин на 12 патронов .45 ACP для HK USP,1,finite,59,12,cash,,1700,2200,0.773,1/1,
Artem,false,66bf757f27d0b097db0acf81,5a718da68dc32e000d46d264,"Магазин Magpul ""PMAG GL9"" на 21 патрон 9x19 для Glock",1,unlimited,99999,16,cash,,4125,1731,2.383,1/1,
Artem,false,66bf757f27d0b097db0acf82,6571bde39837cc51b800c212,Полумаска Призрак,1,unlimited,99999,4,cash,,3412,6523,0.523,1/1,
Artem,false,66bf757f27d0b097db0acf83,6193a720f8ee7e52e42109ed,Пистолет HK USP .45 ACP,1,unlimited,99999,5,cash,,12432,20250,0.614,9/9,
Artem,false,66bf757f27d0b097db0acf84,55d4887d4bdc2d962f8b4570,"Магазин Colt ""AR-15 STANAG"" на 30 патронов 5.56x45 для AR-15",1,unlimited,99999,none,cash,,4765,2012,2.368,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf85,59e6920f86f77411d82aa167,5.56x45мм FMJ,1,unlimited,99999,none,cash,,95,130,0.731,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf86,55d480c04bdc2d1d4e8b456a,Магазин 6Л23 на 30 патронов 5.45x39 для АК-74,1,unlimited,99999,none,cash,,2062,1999,1.032,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf87,56dff3afd2720bba668b4567,5.45x39мм ПС гс,1,unlimited,99999,none,cash,,120,140,0.857,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf88,5e81f423763d9f754677bf2e,.45 ACP Match FMJ,1,unlimited,99999,none,cash,,135,94,1.436,1/1,unbounded-purchase
Artem,false,66bf757f27d0b097db0acf89,61c18d83b00456371a66814b,Защитные очки газосварщика,1,unlimited,99999,5,cash,,19020,30000,0.634,1/1,
Artem,false,66bf757f27d0b097db0acf8a,5e9dcf5986f7746c417435b3,Рюкзак LBT-8005A Day Pack (MultiCam Black),1,unlimited,99999,4,cash,,14230,22600,0.630,1/1,
Artem,false,66bf757f27d0b097db0acf8b,5ab8f39486f7745cd93a1cca,Инфракрасная балаклава Cold Fear,1,unlimited,99999,8,cash,,3500,3454,1.013,1/1,
Artem,false,66bf757f27d0b097db0acf8c,5926c3b286f774640d189b6b,Магазин на 30 патронов 9x19 для HK MP5,1,unlimited,99999,10,cash,,2600,4010,0.648,1/1,
Artem,false,66bf757f27d0b097db0acf8d,5a16b8a9fcdbcb00165aa6ca,"Крепление для навесных приборов Norotos ""Titanium Advanced Tactical Mount""",1,unlimited,99999,10,cash,,15523,3551,4.371,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf8e,590c657e86f77412b013051d,Аптечка Grizzly,1,unlimited,99999,8,barter,,164636,35042,4.698,1/1,very-expensive
Artem,false,66bf757f27d0b097db0acf8f,572b7fa524597762b747ce82,Нижняя полумаска,1,unlimited,99999,8,cash,,1734,2614,0.663,1/1,
Artem,false,66bf757f27d0b097db0acf90,619bdef8c9546643a67df6f6,Повязка на плечо TerraGroup,1,unlimited,99999,1,barter,,40256,52000,0.774,1/1,
Artem,false,66bf757f27d0b097db0acf91,5645bcc04bdc2d363b8b4572,"Активные наушники Peltor ""ComTac II"" (OD Green)",1,unlimited,99999,4,cash,,28920,38050,0.760,1/1,
Artem,false,66bf757f27d0b097db0acf92,5fc3e272f8b6a877a729eac5,Пистолет-пулемет HK UMP .45 ACP,1,unlimited,99999,2,cash,,26842,45839,0.586,7/7,
Artem,false,66bf757f27d0b097db0acf93,5ab8f4ff86f77431c60d91ba,Балаклава Призрак,1,unlimited,99999,8,cash,,5500,6788,0.810,1/1,
Artem,false,66bf757f27d0b097db0acf94,5cadc190ae921500103bb3b6,Пистолет Beretta M9A3 9x19,1,unlimited,99999,6,cash,,12712,12675,1.003,8/8,
Artem,false,66bf757f27d0b097db0acf95,5a7ae0c351dfba0017554310,Пистолет Glock 17 9x19,1,unlimited,99999,5,cash,,14000,13862,1.010,6/6,
Artem,false,66bf757f27d0b097db0acf96,6673b1ac5cae0610f1079d73,6673b1ac5cae0610f1079d73,1,finite,929,none,cash+quest,6740b5875ef4d62a019c51f2,15000,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf97,6673b1ac5cae0610f1079d74,6673b1ac5cae0610f1079d74,1,finite,920,none,cash+quest,6740b5875ef4d62a019c51f2,15000,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf98,6673b1ac5cae0610f1079d75,6673b1ac5cae0610f1079d75,1,finite,643,none,cash+quest,6740b5875ef4d62a019c51f2,15000,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf99,66bf757f27d0b097db0ace6d,66bf757f27d0b097db0ace6d,1,finite,643,none,cash+quest,6740b5875ef4d62a019c51f2,15000,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf9a,66326bfd46817c660d015123,66326bfd46817c660d015123,1,finite,86,2,barter,,22401183,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfd8,66326bfd46817c660d015130,66326bfd46817c660d015130,1,finite,1042,10,cash,,6293,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfd9,66326bfd46817c660d01513f,66326bfd46817c660d01513f,1,finite,75,10,cash,,2423,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfda,66326bfd46817c660d01513e,66326bfd46817c660d01513e,1,finite,75,10,cash,,2323,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfdb,66326bfd46817c660d015140,66326bfd46817c660d015140,1,finite,75,10,cash,,2333,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfdc,66bf757f27d0b097db0ace3a,66bf757f27d0b097db0ace3a,1,finite,532,4,cash,,3000,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfdd,66326bfd46817c660d015141,66326bfd46817c660d015141,1,finite,75,10,cash,,2239,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe4,668bc5cd834c88e06b08b6a8,668bc5cd834c88e06b08b6a8,1,finite,2050,10,cash,,4150,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe5,6673b1ac5cae0610f1079d7f,6673b1ac5cae0610f1079d7f,1,finite,699,10,cash,,4150,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe6,668bc5cd834c88e06b08b6a4,668bc5cd834c88e06b08b6a4,1,finite,395,10,cash,,4150,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe7,668bc5cd834c88e06b08b693,668bc5cd834c88e06b08b693,1,finite,7849,10,cash,,5900,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe8,668bc5cd834c88e06b08b694,668bc5cd834c88e06b08b694,1,finite,7849,10,cash,,5900,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfe9,66bf757f27d0b097db0ace63,66bf757f27d0b097db0ace63,1,finite,7849,10,cash,,5900,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acfea,66326bfd46817c660d01514e,66326bfd46817c660d01514e,1,finite,758,10,cash,,6293,,,0/1,partial-product-value
Artem,false,66eadd7a2e2dbc7ab4bafd74,5751a25924597722c463c472,Армейский бинт,1,unlimited,99999,12,cash,,1993,2049,0.973,1/1,
Artem,false,675267324707588d57c75972,6752641b1470fc33b675d59a,6752641b1470fc33b675d59a,1,finite,500,3,cash+quest,6740b1c44382955ae7e87eb9,200,,,0/1,partial-product-value
Artem,false,677bb992edf2729af1734043,66326bfd46817c660d015122,66326bfd46817c660d015122,1,finite,86,2,cash+quest,673f0b6c85753ffd03ad5f34,324250,,,0/1,partial-product-value
Artem,false,66bf757f27d0b097db0acf37,5fbe3ffdf8b6a877a729ea82,.300 Blackout БПЗ FMJ,2,finite,87534,240,cash+quest,6740b70d0c2f488b92d69575,296,288,1.028,1/1,
Artem,false,66bf757f27d0b097db0acf38,544fb45d4bdc2dee738b4568,Аптечка Salewa First Aid Kit,2,unlimited,99999,12,cash,,35765,18863,1.896,1/1,
Artem,false,66bf757f27d0b097db0acf39,5c0558060db834001b735271,Прибор ночного видения L3Harris GPNVG-18,2,unlimited,99999,1,barter,,129087,145004,0.890,1/1,
Artem,false,66bf757f27d0b097db0acf3a,6171407e50224f204c1da3c5,Крепление 30мм Recknagel Era-Tac для оптики,2,unlimited,99999,4,cash,,8100,7400,1.095,1/1,
Artem,false,66bf757f27d0b097db0acf3b,5c0695860db834001b735461,Переходник для ПНВ-10Т на современные крепления,2,unlimited,99999,15,cash,,2100,2310,0.909,1/1,
Artem,false,66bf757f27d0b097db0acf3c,5aa2ba71e5b5b000137b758f,"Активные наушники MSA ""Sordin Supreme PRO-X/L""",2,unlimited,99999,2,cash,,43627,45027,0.969,1/1,
Artem,false,66bf757f27d0b097db0acf3d,5d3eb5eca4b9363b1f22f8e4,Магазин на 20 патронов 5.7x28 для FN Five-seveN,2,unlimited,99999,6,cash,,3243,3660,0.886,1/1,
Artem,false,66bf757f27d0b097db0acf3e,59d6088586f774275f37482f,Автомат Калашникова АКМ 7.62x39,2,unlimited,99999,2,cash,,178584,138904,1.286,12/12,
Artem,false,66bf757f27d0b097db0acf3f,590c657e86f77412b013051d,Аптечка Grizzly,2,finite,56,3,cash,,32625,35042,0.931,1/1,
Artem,false,66bf757f27d0b097db0acf40,5648a69d4bdc2ded0b8b457b,"Разгрузочный жилет ""BlackRock Chest Rig"" (Серый)",2,finite,300,6,cash,,32239,40700,0.792,1/1,
Artem,false,66bf757f27d0b097db0acf41,603409c80ca681766b6a0fb2,"Защитные очки НПП КлАСС ""Кондор""",2,unlimited,99999,3,cash,,12030,15600,0.771,1/1,
Artem,false,66bf757f27d0b097db0acf42,5ba26383d4351e00334c93d9,Пистолет-пулемет HK MP7A1 4.6x30,2,unlimited,99999,2,cash,,26523,52741,0.503,6/6,
Artem,false,66bf757f27d0b097db0acf43,5b2388675acfc4771e1be0be,"Оптический прицел 30мм Burris ""FullField TAC30 1-4x24""",2,unlimited,99999,3,cash,,41528,31468,1.320,1/1,
Artem,false,66bf757f27d0b097db0acf44,5b3cbc235acfc4001863ac44,"Наглазник на прицел Armasight ""Vulcan MG""",2,unlimited,99999,14,cash,,464,704,0.659,1/1,
Artem,false,66bf757f27d0b097db0acf45,64b6979341772715af0f9c39,4.6x30мм JSP SX ,2,unlimited,99999,200,cash,,326,280,1.164,1/1,
